Date,High,Low,Open,Close,Volume,Adj Close
2014-05-02,119.5,117.0,119.0,118.0,42629000.0,96.53063201904297
2014-05-05,118.0,116.0,117.5,117.0,28604000.0,95.71257781982422
2014-05-06,119.0,116.5,117.0,118.0,27491000.0,96.53063201904297
2014-05-07,119.0,117.5,118.0,118.5,33234000.0,96.93966674804688
2014-05-08,120.0,119.0,119.5,119.5,27052000.0,97.75772094726562
2014-05-09,120.0,119.0,120.0,120.0,22485000.0,98.166748046875
2014-05-12,120.0,117.5,119.5,118.5,35472000.0,96.93966674804688
2014-05-13,121.0,119.5,120.0,120.5,24007000.0,98.5757827758789
2014-05-14,122.0,120.5,121.0,122.0,32763000.0,99.80287170410156
2014-05-15,122.0,120.5,121.0,122.0,16779000.0,99.80287170410156
2014-05-16,123.0,121.0,122.0,122.0,28390000.0,99.80287170410156
2014-05-19,122.5,121.0,122.0,121.0,18373000.0,98.98480987548828
2014-05-20,122.0,121.0,122.0,121.0,25192000.0,98.98480987548828
2014-05-21,122.0,120.5,122.0,120.5,24178000.0,98.5757827758789
2014-05-22,122.0,121.0,121.5,122.0,26290000.0,99.80287170410156
2014-05-23,122.5,121.0,121.0,122.0,31726000.0,99.80287170410156
2014-05-26,123.5,122.0,123.0,123.0,19792000.0,100.62092590332031
2014-05-27,124.0,122.5,122.5,123.5,18012000.0,101.02994537353516
2014-05-28,124.0,122.5,124.0,124.0,36670000.0,101.43897247314453
2014-05-29,124.0,121.5,123.5,122.0,43028000.0,99.80287170410156
2014-05-30,122.5,119.5,122.0,119.5,69042000.0,97.75772094726562
2014-06-03,122.5,120.0,120.0,122.5,37556000.0,100.2118911743164
2014-06-04,124.0,123.0,123.5,123.5,33407000.0,101.02994537353516
2014-06-05,123.5,121.5,123.0,123.0,19524000.0,100.62092590332031
2014-06-06,123.5,122.0,123.5,122.5,19230000.0,100.2118911743164
2014-06-09,123.5,122.5,122.5,123.0,19684000.0,100.62092590332031
2014-06-10,124.5,122.5,123.0,124.5,25050000.0,101.84800720214844
2014-06-11,125.0,123.5,124.0,125.0,27770000.0,102.25701904296875
2014-06-12,124.0,123.0,124.0,123.5,22138000.0,101.02994537353516
2014-06-13,123.5,122.5,123.0,123.0,17160000.0,100.62092590332031
2014-06-16,124.0,122.5,122.5,124.0,13550000.0,101.43897247314453
2014-06-17,125.0,123.0,124.0,125.0,19795000.0,102.25701904296875
2014-06-18,126.5,124.0,125.0,125.5,37238000.0,102.66605377197266
2014-06-19,126.0,124.5,124.5,126.0,17873000.0,103.07508850097656
2014-06-20,127.0,124.0,126.5,124.5,30094000.0,101.84800720214844
2014-06-23,125.5,123.0,125.0,123.0,25096000.0,100.62092590332031
2014-06-24,123.5,122.0,123.0,123.0,33225000.0,100.62092590332031
2014-06-25,124.5,123.0,123.0,123.5,30757000.0,101.02994537353516
2014-06-26,125.0,123.5,124.5,124.5,30279000.0,101.84800720214844
2014-06-27,126.5,124.0,125.0,125.5,44396000.0,102.66605377197266
2014-06-30,127.0,125.0,126.0,126.5,33280000.0,103.48411560058594
2014-07-01,128.5,126.0,126.5,128.0,32922000.0,104.7112045288086
2014-07-02,132.5,129.0,129.5,132.5,51457000.0,108.3924560546875
2014-07-03,135.0,130.5,131.5,134.5,40176000.0,110.028564453125
2014-07-04,136.0,132.0,133.5,135.0,44006000.0,110.43760681152344
2014-07-07,136.0,132.5,134.5,136.0,32123000.0,111.25566101074219
2014-07-08,136.0,134.0,135.5,134.5,36117000.0,110.028564453125
2014-07-09,135.0,133.5,133.5,134.0,39145000.0,109.61953735351562
2014-07-10,136.0,134.5,134.5,134.5,47098000.0,110.028564453125
2014-07-11,138.0,135.5,136.0,136.5,43144000.0,111.66468048095703
2014-07-14,134.5,132.5,134.5,132.5,46321000.0,110.82816314697266
2014-07-15,134.0,132.5,133.0,133.0,36989000.0,111.24638366699219
2014-07-16,133.5,130.0,133.0,130.5,39065000.0,109.15528869628906
2014-07-17,125.5,123.0,125.0,124.5,136198000.0,104.13665008544922
2014-07-18,124.0,121.5,121.5,123.5,95711000.0,103.30020904541016
2014-07-21,124.5,122.5,124.0,123.5,56612000.0,103.30020904541016
2014-07-22,125.0,122.5,123.5,124.5,53220000.0,104.13665008544922
2014-07-23,124.5,124.5,124.5,124.5,0.0,104.13665008544922
2014-07-24,125.0,124.0,124.5,125.0,65602000.0,104.55486297607422
2014-07-25,125.0,122.5,124.5,123.0,31299000.0,102.88199615478516
2014-07-28,122.5,121.0,122.0,121.5,43425000.0,101.6273422241211
2014-07-29,124.0,122.0,122.5,124.0,37994000.0,103.71842956542969
2014-07-30,125.0,123.0,123.5,124.5,32381000.0,104.13665008544922
2014-07-31,124.0,121.0,124.0,121.0,44748000.0,101.20912170410156
2014-08-01,121.0,119.5,120.0,120.0,52455000.0,100.3726806640625
2014-08-04,123.5,120.0,120.0,123.5,39633000.0,103.30020904541016
2014-08-05,122.5,119.5,122.5,119.5,61184000.0,99.95445251464844
2014-08-06,121.5,119.0,119.0,120.5,34561000.0,100.7908935546875
2014-08-07,121.5,119.5,120.5,121.5,29493000.0,101.6273422241211
2014-08-08,121.0,119.5,120.5,120.5,35075000.0,100.7908935546875
2014-08-11,121.0,119.5,120.0,120.5,42890000.0,100.7908935546875
2014-08-12,122.0,120.5,121.0,121.5,32237000.0,101.6273422241211
2014-08-13,123.5,120.5,121.0,122.5,39756000.0,102.46378326416016
2014-08-14,124.0,123.0,123.5,124.0,32907000.0,103.71842956542969
2014-08-15,125.0,123.0,124.5,124.0,19151000.0,103.71842956542969
2014-08-18,124.0,122.5,124.0,123.0,14578000.0,102.88199615478516
2014-08-19,125.0,123.5,124.0,124.0,31575000.0,103.71842956542969
2014-08-20,125.5,124.5,125.0,125.5,28876000.0,104.97308349609375
2014-08-21,126.0,124.0,126.0,124.5,22562000.0,104.13665008544922
2014-08-22,126.0,123.5,124.5,125.5,42715000.0,104.97308349609375
2014-08-25,126.0,125.0,125.5,125.0,20077000.0,104.55486297607422
2014-08-26,125.5,124.0,125.0,124.5,28801000.0,104.13665008544922
2014-08-27,126.0,124.5,125.5,125.5,36779000.0,104.97308349609375
2014-08-28,126.0,124.5,126.0,125.0,21587000.0,104.55486297607422
2014-08-29,125.0,124.0,124.5,124.0,28324000.0,103.71842956542969
2014-09-01,128.5,125.0,125.0,128.5,36304000.0,107.48240661621094
2014-09-02,128.0,125.5,128.0,126.0,19182000.0,105.39131164550781
2014-09-03,128.0,125.5,127.0,128.0,24561000.0,107.06419372558594
2014-09-04,128.0,126.0,128.0,127.5,21641000.0,106.64596557617188
2014-09-05,128.5,125.5,128.5,127.0,20096000.0,106.22774505615234
2014-09-09,127.5,126.5,127.5,127.0,22090000.0,106.22774505615234
2014-09-10,126.0,124.0,126.0,125.0,29294000.0,104.55486297607422
2014-09-11,126.0,125.0,126.0,125.0,22827000.0,104.55486297607422
2014-09-12,125.0,123.0,124.5,123.0,19798000.0,102.88199615478516
2014-09-15,123.5,122.0,122.5,123.5,19518000.0,103.30020904541016
2014-09-16,123.0,122.0,123.0,122.5,19187000.0,102.46378326416016
2014-09-17,125.0,123.0,123.5,124.5,23504000.0,104.13665008544922
2014-09-18,125.0,123.5,124.5,125.0,14726000.0,104.55486297607422
2014-09-19,126.0,125.0,125.5,125.0,30603000.0,104.55486297607422
2014-09-22,124.0,122.0,124.0,122.0,39365000.0,102.0455551147461
2014-09-23,123.5,122.0,123.0,122.5,15286000.0,102.46378326416016
2014-09-24,124.0,122.0,122.0,123.0,27613000.0,102.88199615478516
2014-09-25,124.0,121.5,123.0,122.0,23213000.0,102.0455551147461
2014-09-26,121.5,120.5,121.0,121.0,23545000.0,101.20912170410156
2014-09-29,122.0,120.0,122.0,120.5,54783000.0,100.7908935546875
2014-09-30,121.0,119.0,120.0,120.0,44070000.0,100.3726806640625
2014-10-01,122.0,120.0,120.0,121.5,42211000.0,101.6273422241211
2014-10-02,122.5,120.5,121.0,121.0,30761000.0,101.20912170410156
2014-10-03,125.0,122.0,122.5,124.5,52003000.0,104.13665008544922
2014-10-06,126.0,124.0,125.0,126.0,37186000.0,105.39131164550781
2014-10-07,125.5,123.5,125.0,125.0,39986000.0,104.55486297607422
2014-10-08,125.0,122.5,123.5,122.5,29221000.0,102.46378326416016
2014-10-09,125.0,123.5,124.0,125.0,35347000.0,104.55486297607422
2014-10-13,121.5,118.0,119.0,120.5,69183000.0,100.7908935546875
2014-10-14,121.5,119.5,120.0,121.0,31862000.0,101.20912170410156
2014-10-15,123.0,121.0,121.5,121.5,43922000.0,101.6273422241211
2014-10-16,124.0,120.0,121.5,121.5,45527000.0,101.6273422241211
2014-10-17,125.5,123.5,125.0,123.5,91597000.0,103.30020904541016
2014-10-20,126.0,124.5,125.0,126.0,38276000.0,105.39131164550781
2014-10-21,126.0,124.5,126.0,125.0,25582000.0,104.55486297607422
2014-10-22,129.0,127.5,127.5,129.0,64167000.0,107.90062713623047
2014-10-23,128.5,127.5,128.0,127.5,26374000.0,106.64596557617188
2014-10-24,127.5,125.0,127.0,125.5,42082000.0,104.97308349609375
2014-10-27,128.0,126.5,126.5,128.0,25119000.0,107.06419372558594
2014-10-28,129.5,127.5,129.0,128.0,34984000.0,107.06419372558594
2014-10-29,129.5,128.0,129.0,129.0,34583000.0,107.90062713623047
2014-10-30,129.0,127.0,128.5,128.5,35688000.0,107.48240661621094
2014-10-31,130.5,127.5,128.0,130.5,41983000.0,109.15528869628906
